Date,Product ID,Sale Count
2023-06-18,Product_2,51
2023-06-19,Product_2,60
2023-06-20,Product_2,41
2023-06-21,Product_2,40
2023-06-22,Product_2,39
2023-06-23,Product_2,38
2023-06-24,Product_2,50
2023-06-25,Product_2,50
2023-06-26,Product_2,39
2023-06-27,Product_2,40
2023-06-28,Product_2,39
2023-06-29,Product_2,39
2023-06-30,Product_2,39
2023-07-01,Product_2,51
2023-07-02,Product_2,50
2023-07-03,Product_2,40
2023-07-04,Product_2,61
2023-07-05,Product_2,39
2023-07-06,Product_2,39
2023-07-07,Product_2,38
2023-07-08,Product_2,52
2023-07-09,Product_2,51
2023-07-10,Product_2,38
2023-07-11,Product_2,40
2023-07-12,Product_2,39
2023-07-13,Product_2,40
2023-07-14,Product_2,39
2023-07-15,Product_2,53
2023-07-16,Product_2,51
2023-07-17,Product_2,38
2023-07-18,Product_2,39
2023-07-19,Product_2,38
2023-07-20,Product_2,39
2023-07-21,Product_2,40
2023-07-22,Product_2,52
2023-07-23,Product_2,51
2023-07-24,Product_2,40
2023-07-25,Product_2,39
2023-07-26,Product_2,41
2023-07-27,Product_2,41
2023-07-28,Product_2,40
2023-07-29,Product_2,53
2023-07-30,Product_2,53
2023-07-31,Product_2,39
2023-08-01,Product_2,39
2023-08-02,Product_2,39
2023-08-03,Product_2,40
2023-08-04,Product_2,39
2023-08-05,Product_2,52
2023-08-06,Product_2,50
2023-08-07,Product_2,39
2023-08-08,Product_2,39
2023-08-09,Product_2,41
2023-08-10,Product_2,40
2023-08-11,Product_2,40
2023-08-12,Product_2,53
2023-08-13,Product_2,50
2023-08-14,Product_2,40
2023-08-15,Product_2,40
2023-08-16,Product_2,38
