Date,Product ID,Sale Count
06-18-2023,Product_1,68
06-19-2023,Product_1,82
06-20-2023,Product_1,58
06-21-2023,Product_1,61
06-22-2023,Product_1,60
06-23-2023,Product_1,59
06-24-2023,Product_1,69
06-25-2023,Product_1,69
06-26-2023,Product_1,57
06-27-2023,Product_1,58
06-28-2023,Product_1,57
06-29-2023,Product_1,63
06-30-2023,Product_1,62
07-01-2023,Product_1,72
07-02-2023,Product_1,70
07-03-2023,Product_1,63
07-04-2023,Product_1,79
07-05-2023,Product_1,58
07-06-2023,Product_1,57
07-07-2023,Product_1,58
07-08-2023,Product_1,70
07-09-2023,Product_1,68
07-10-2023,Product_1,58
07-11-2023,Product_1,63
07-12-2023,Product_1,57
07-13-2023,Product_1,59
07-14-2023,Product_1,60
07-15-2023,Product_1,71
07-16-2023,Product_1,69
07-17-2023,Product_1,57
07-18-2023,Product_1,63
07-19-2023,Product_1,64
07-20-2023,Product_1,59
07-21-2023,Product_1,60
07-22-2023,Product_1,68
07-23-2023,Product_1,71
07-24-2023,Product_1,57
07-25-2023,Product_1,62
07-26-2023,Product_1,62
07-27-2023,Product_1,63
07-28-2023,Product_1,59
07-29-2023,Product_1,69
07-30-2023,Product_1,70
07-31-2023,Product_1,58
08-01-2023,Product_1,59
08-02-2023,Product_1,61
08-03-2023,Product_1,61
08-04-2023,Product_1,58
08-05-2023,Product_1,72
08-06-2023,Product_1,69
08-07-2023,Product_1,60
08-08-2023,Product_1,61
08-09-2023,Product_1,60
08-10-2023,Product_1,59
08-11-2023,Product_1,58
08-12-2023,Product_1,70
08-13-2023,Product_1,69
08-14-2023,Product_1,59
08-15-2023,Product_1,58
08-16-2023,Product_1,61
